"Magento ID","Magento ID"
"WordPress ID","WordPress ID"
Title,Title
Image,Image
Video,Video
Store,Store
"Area code already set","Area code already set"
"Read More","Read More"
"WordPress integration","WordPress integration"
General,General
"Source Url","Source Url"
"Cron expression","Cron expression"
"Will show WordPress post summary card","Will show WordPress post summary card"
Layout,Layout
"Post details below image","Post details below image"
"Post details and image side by side","Post details and image side by side"
"Open ""Read more"" links","Open ""Read more"" links"
"New tab","New tab"
"The same tab","The same tab"
Post,Post
